"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
7018, 4.365582660301000e-03, -6.575961292984000e-03, 8.279655167955643e+05, -1.484079392722875e+00, 2.724482568062721e-03, -2.396223368183868e-03
7016, 4.758198118922000e-03, -6.917824304028000e-03, 8.279440294604478e+05, -1.484264756207317e+00, 2.748463702921053e-03, -2.369072720467601e-03
7014, 5.153814097196000e-03, -7.255387254687000e-03, 8.284083718146359e+05, -1.480259042316805e+00, 2.759066492025253e-03, -2.340607274768400e-03
7012, 5.550952649941000e-03, -7.590344168182000e-03, 8.289979794422194e+05, -1.475172710125782e+00, 2.779528767006480e-03, -2.328275943985087e-03
7010, 5.949956897397000e-03, -7.922277323136001e-03, 8.291673594787606e+05, -1.473711529686330e+00, 2.798073175356929e-03, -2.312411847760837e-03
7008, 6.350804104897000e-03, -8.251365472835000e-03, 8.294605541863146e+05, -1.471182244769543e+00, 2.807903893182694e-03, -2.292679784674457e-03
7006, 6.753308908871000e-03, -8.578221752415001e-03, 8.299849178767251e+05, -1.466658748475456e+00, 2.814241586253353e-03, -2.276792402232510e-03
7004, 7.157062393082000e-03, -8.903648757164000e-03, 8.304417900126175e+05, -1.462717477461892e+00, 2.829082305436317e-03, -2.271224941521155e-03
7002, 7.562187733956000e-03, -9.227600442696000e-03, 8.306897213356795e+05, -1.460578663425815e+00, 2.841330324656638e-03, -2.263657989345608e-03
7000, 7.968582143733000e-03, -9.550178008314999e-03, 8.309158114814127e+05, -1.458628265343230e+00, 2.849346518221715e-03, -2.253880169487332e-03
6998, 8.376142153922000e-03, -9.871451836093000e-03, 8.313190053413166e+05, -1.455150057442058e+00, 2.848981091861096e-03, -2.241996978068747e-03
6996, 8.784293798427999e-03, -1.019209980626100e-02, 8.317344519826260e+05, -1.451566149218202e+00, 2.862177979484598e-03, -2.244009240742674e-03
6994, 9.193134182339999e-03, -1.051199119965600e-02, 8.319749932133172e+05, -1.449491086841638e+00, 2.870192171228899e-03, -2.242002189676738e-03
6992, 9.602579164032000e-03, -1.083128961377800e-02, 8.322202865257977e+05, -1.447375029970689e+00, 2.876246956012068e-03, -2.240186409279535e-03
6990, 1.001253751014900e-02, -1.115018959734200e-02, 8.324489461289020e+05, -1.445402466106780e+00, 2.883213653939101e-03, -2.240681208206712e-03
6988, 1.042291315122800e-02, -1.146880981525600e-02, 8.326245263577610e+05, -1.443887798846092e+00, 2.890272443318308e-03, -2.242265461954766e-03
6986, 1.083360838954000e-02, -1.178717414145700e-02, 8.328261364731359e+05, -1.442148581149621e+00, 2.892478053802861e-03, -2.242257557870133e-03
6984, 1.124433850271300e-02, -1.210558118165300e-02, 8.329939760982336e+05, -1.440700689283699e+00, 2.902534561147636e-03, -2.249983828803973e-03
6982, 1.165514456493800e-02, -1.242401172960000e-02, 8.330780688975125e+05, -1.439975251056655e+00, 2.908090932670769e-03, -2.254950659501796e-03
6980, 1.206592720426800e-02, -1.274264584961000e-02, 8.331119764815229e+05, -1.439682742567953e+00, 2.916736001005758e-03, -2.263210632594548e-03
6978, 1.247666978184900e-02, -1.306146558391400e-02, 8.330703050089343e+05, -1.440042227321132e+00, 2.921650208114235e-03, -2.269601338689197e-03
6976, 1.288717798426800e-02, -1.338061129273900e-02, 8.329654803583666e+05, -1.440946511746319e+00, 2.929521062151552e-03, -2.279574776144844e-03
6974, 1.329739043059600e-02, -1.370010038102000e-02, 8.328045633874791e+05, -1.442334684373024e+00, 2.935551345838561e-03, -2.288669420257934e-03
6972, 1.370728227193900e-02, -1.401999632931000e-02, 8.327010367618999e+05, -1.443227771205142e+00, 2.939194889212301e-03, -2.297243188290896e-03
6970, 1.411672766319300e-02, -1.434048557065300e-02, 8.325730437230932e+05, -1.444331920953302e+00, 2.947973157400590e-03, -2.310579472495490e-03
6968, 1.452572992438900e-02, -1.466148396983200e-02, 8.323958725015207e+05, -1.445860313133879e+00, 2.953448582570456e-03, -2.321813442179891e-03
6966, 1.493406226300700e-02, -1.498302205217700e-02, 8.322057065425451e+05, -1.447500806223731e+00, 2.961176483383113e-03, -2.336056391223785e-03
6964, 1.534140693525600e-02, -1.530496722897000e-02, 8.319402182881481e+05, -1.449791077569461e+00, 2.970662850310367e-03, -2.352330876145065e-03
6962, 1.574808437882200e-02, -1.562760861530600e-02, 8.315986386587481e+05, -1.452737761743028e+00, 2.979889479367583e-03, -2.368913982291839e-03
6960, 1.615502834242600e-02, -1.595176944800600e-02, 8.311947502104365e+05, -1.456221961607690e+00, 2.989186367658707e-03, -2.386222218973551e-03
6958, 1.656197333080000e-02, -1.627732384283400e-02, 8.307540312841219e+05, -1.460023884712544e+00, 2.998361351799387e-03, -2.404379282433059e-03
6956, 1.696756074892100e-02, -1.660333737303600e-02, 8.302504973673694e+05, -1.464367690067552e+00, 3.009439822519491e-03, -2.424448946968364e-03
6954, 1.737178538341200e-02, -1.692972033320600e-02, 8.297129885701219e+05, -1.469004584453744e+00, 3.018156227457525e-03, -2.443036024481393e-03
6952, 1.777557789871700e-02, -1.725738403483300e-02, 8.291706127408850e+05, -1.473683464968211e+00, 3.028420638762364e-03, -2.463731680275534e-03
6950, 1.817919551150300e-02, -1.758657819703500e-02, 8.285830983210144e+05, -1.478751739811815e+00, 3.039333103008744e-03, -2.485534714203678e-03
6948, 1.858234333539300e-02, -1.791714834204000e-02, 8.279296375972795e+05, -1.484388909616291e+00, 3.051533301227665e-03, -2.508740256324597e-03
6946, 1.898493273390800e-02, -1.824899449937500e-02, 8.272291722683766e+05, -1.490431571183777e+00, 3.062873901205132e-03, -2.531792867206415e-03
6944, 1.938688159078000e-02, -1.858218525902900e-02, 8.264946105371203e+05, -1.496768370107658e+00, 3.075712021241512e-03, -2.556885413335960e-03
6942, 1.978818492838700e-02, -1.891675006462600e-02, 8.256947540752101e+05, -1.503668443105503e+00, 3.089066646222664e-03, -2.582943484987539e-03
6940, 2.018880976508500e-02, -1.925272280012800e-02, 8.248427509122906e+05, -1.511018366871199e+00, 3.103093663860445e-03, -2.610182650518563e-03
6938, 2.058869679646500e-02, -1.959010459914300e-02, 8.239259720809051e+05, -1.518927086948713e+00, 3.118027559014773e-03, -2.638553829244007e-03
