    np2    ns2
    550    550
 Face:           1
        0.025578176721673        0.003618658851802        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.025334957382238        0.004109550342260        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.025087959687366        0.004598215256230        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.024837825452289        0.005084536380438        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.024586118552545        0.005569747152074        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.024328111396683        0.006052511929623        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.024064144232099        0.006533150322523        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.023795495405672        0.007011630212780        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.023521945000702        0.007487414122794        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.023243326518876        0.007960286172538        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.022959432497944        0.008429911172688        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.022669973993214        0.008895926123312        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.022374680407704        0.009358097801297        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.022073194010659        0.009815983793143        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.021765298281467        0.010269175171571        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.021450479784801        0.010717255808008        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.021128356859996        0.011159809140651        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.020798605460569        0.011596189840747        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.020460809325644        0.012025648903738        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.020114641278693        0.012447552919330        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.019759612857980        0.012861032548274        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.019396402571870        0.013265790747739        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.019021072890321        0.013655540282709        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.018638901646785        0.014028367057507        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.018257637608131        0.014383565736241        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.017878480007400        0.014714561459098        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.017507816094138        0.015007344800671        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.017157200044053        0.015272355644007        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.016814870768441        0.015508924911524        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.016494740330902        0.015710032976527        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.016201487829537        0.015889230100904        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.015912638278677        0.016044990862262        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.015612190678985        0.016189637359982        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.015295801925272        0.016330907451921        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.014974094974102        0.016454076137661        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.014673829676933        0.016558213760583        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.014427978476208        0.016630821039368        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.014230482329930        0.016682437067269        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.014066361865270        0.016726466336830        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.013910611474588        0.016761212453804        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.013750935541876        0.016785730724515        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.013586845000456        0.016809183354418        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.013419850703432        0.016834379900104        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.013252930263862        0.016850252680422        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.013083576145704        0.016857453982737        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
